,former,,,,,,forecast,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
3/22/2010,1922.72998,1956.47998,1921.709961,1949.589966,1949.589966,2448130000,1952.540039,1964.140015,1943.25,1963.199951,1963.199951,2465230000
3/23/2010,1952.540039,1964.140015,1943.25,1963.199951,1963.199951,2465230000,1956.630005,1958.599976,1948.849976,1951.839966,1951.839966,2436100000
3/24/2010,1956.630005,1958.599976,1948.849976,1951.839966,1951.839966,2436100000,1966.560059,1976.380005,1948.5,1949.150024,1949.150024,2704870000
3/25/2010,1966.560059,1976.380005,1948.5,1949.150024,1949.150024,2704870000,1958.27002,1965.52002,1942.209961,1952.630005,1952.630005,2367930000
3/26/2010,1958.27002,1965.52002,1942.209961,1952.630005,1952.630005,2367930000,1960.630005,1968.430054,1956.599976,1961.219971,1961.219971,1967850000
3/29/2010,1960.630005,1968.430054,1956.599976,1961.219971,1961.219971,1967850000,1966.51001,1974.469971,1955.219971,1967.959961,1967.959961,2147270000
3/30/2010,1966.51001,1974.469971,1955.219971,1967.959961,1967.959961,2147270000,1962.170044,1969.900024,1955.150024,1958.339966,1958.339966,2368690000
3/31/2010,1962.170044,1969.900024,1955.150024,1958.339966,1958.339966,2368690000,1968.439941,1979.48999,1943.969971,1959.560059,1959.560059,2340270000
4/01/2010,1968.439941,1979.48999,1943.969971,1959.560059,1959.560059,2340270000,1964.030029,1981.069946,1958.01001,1977.829956,1977.829956,2130340000
4/05/2010,1964.030029,1981.069946,1958.01001,1977.829956,1977.829956,2130340000,1971.089966,1988.040039,1968.170044,1981.949951,1981.949951,2220390000
4/06/2010,1971.089966,1988.040039,1968.170044,1981.949951,1981.949951,2220390000,1980.199951,1987.339966,1967.140015,1977.300049,1977.300049,2984850000
4/07/2010,1980.199951,1987.339966,1967.140015,1977.300049,1977.300049,2984850000,1972.819946,1984.900024,1962.040039,1980.72998,1980.72998,2428900000
4/08/2010,1972.819946,1984.900024,1962.040039,1980.72998,1980.72998,2428900000,1984.01001,1994.47998,1978.040039,1994.430054,1994.430054,2215530000
4/09/2010,1984.01001,1994.47998,1978.040039,1994.430054,1994.430054,2215530000,1995.349976,2000.560059,1990.780029,1995.650024,1995.650024,2161650000
4/12/2010,1995.349976,2000.560059,1990.780029,1995.650024,1995.650024,2161650000,1994.339966,2006.51001,1986.829956,2003.810059,2003.810059,2665420000
4/13/2010,1994.339966,2006.51001,1986.829956,2003.810059,2003.810059,2665420000,2015.609985,2029.060059,2012.97998,2028.819946,2028.819946,3143270000
4/14/2010,2015.609985,2029.060059,2012.97998,2028.819946,2028.819946,3143270000,2027.920044,2040.48999,2027.52002,2038.640015,2038.640015,2840660000
4/15/2010,2027.920044,2040.48999,2027.52002,2038.640015,2038.640015,2840660000,2030.339966,2037.469971,2000.77002,2012.839966,2012.839966,2960950000
4/16/2010,2030.339966,2037.469971,2000.77002,2012.839966,2012.839966,2960950000,2011.400024,2018.930054,1988.369995,2013.530029,2013.530029,2223650000
4/19/2010,2011.400024,2018.930054,1988.369995,2013.530029,2013.530029,2223650000,2025.040039,2027.439941,2009.550049,2023.599976,2023.599976,2157100000
4/20/2010,2025.040039,2027.439941,2009.550049,2023.599976,2023.599976,2157100000,2037.150024,2040.829956,2021.719971,2034.530029,2034.530029,2715900000
